SH688129,N东来
SZ300479,神思电子
SZ300582,英飞特
SZ300516,久之洋
SZ300593,新雷能
SZ300466,赛摩智能
SZ300895,铜牛信息
SZ300898,熊猫乳品
SZ300712,永福股份
SZ300141,和顺电气
SZ300826,测绘股份
SZ300279,和晶科技
SZ300491,通合科技
SH603041,美思德
SH605338,巴比食品
SH605058,澳弘电子
SZ003009,中天火箭
SZ002970,锐明技术
SH605111,新洁能
SH603919,金徽酒
SZ003015,日久光电
SH600573,惠泉啤酒
SZ003013,地铁设计
SZ300891,惠云钛业
SZ300848,美瑞新材
SZ300845,捷安高科
SZ300100,双林股份
SZ300589,江龙船艇
SZ300849,锦盛新材
SZ300561,汇金科技
SZ002724,海洋王
SZ300444,双杰电气
SZ000036,华联控股
SZ300385,雪浪环境
SZ300556,丝路视觉
SZ300885,海昌新材
SZ300781,因赛集团
SH600861,北京城乡
SZ300899,上海凯鑫
SZ300176,派生科技
SZ300411,金盾股份
SZ002659,凯文教育
SH603333,尚纬股份
SH601163,三角轮胎
SZ300882,万胜智能
SZ002417,深南股份
SZ300555,路通视信
SZ300670,大烨智能
SZ300588,熙菱信息
SZ002109,兴化股份
SZ300851,交大思诺
SH601669,中国电建
SH605008,长鸿高科
SH600890,中房股份
SZ002147,*ST新光
SH603877,太平鸟
SH603488,展鹏科技
SH600145,*ST新亿
SZ002086,*ST东洋
SZ300847,中船汉光
SZ000906,浙商中拓
SZ300892,品渥食品
SH600306,*ST商城
SZ002290,ST中科创
SZ002163,海南发展
SH600238,ST椰岛
SZ002638,*ST勤上
SH600518,ST康美
SH601777,*ST力帆
SZ300062,中能电气
SZ000408,*ST藏格
SZ300445,康斯特
SH688198,佰仁医疗
SZ002366,台海核电
SZ002210,*ST飞马
SZ002716,*ST金贵
SZ000869,张裕A
SH603855,华荣股份
SZ300514,友讯达
SZ000017,*ST中华A
SH601238,广汽集团
SZ002076,*ST雪莱
SZ300038,数知科技
SZ002706,良信电器
SH600421,ST仰帆
SZ002428,云南锗业
SH600179,*ST安通
SH603992,松霖科技
SH601028,玉龙股份
SZ300129,泰胜风能
SZ300499,高澜股份
SZ002240,威华股份
SZ300880,迦南智能
SZ000587,*ST金洲
SZ300283,温州宏丰
SZ300505,川金诺
SZ300269,联建光电
SZ300897,山科智能
SZ300693,盛弘股份
SZ300107,建新股份
SZ300151,昌红科技
SH600733,北汽蓝谷
SH600696,ST岩石
SZ300351,永贵电器
SZ000729,燕京啤酒
SZ002203,海亮股份
SZ300386,飞天诚信
SH600908,无锡银行
SZ300394,天孚通信
SZ002345,潮宏基
SH603667,五洲新春
SZ002164,宁波东力
SH600337,美克家居
SZ300718,长盛轴承
SH600731,湖南海利
SH603648,畅联股份
SH605003,众望布艺
SZ300034,钢研高纳
SH600638,新黄浦
SH600608,ST沪科
SZ300407,凯发电气
SH601611,中国核建
SZ300469,信息发展
SZ300585,奥联电子
SH603956,威派格
SZ300057,万顺新材
SZ002577,雷柏科技
SZ300710,万隆光电
SZ300668,杰恩设计
SZ002354,*ST天娱
SZ000001,平安银行
SH600754,锦江酒店
SZ300490,华自科技
SH601717,郑煤机
SZ002245,澳洋顺昌
SZ300889,爱克股份
SH600660,福耀玻璃
SZ002306,ST云网
SZ002908,德生科技
SZ000039,中集集团
SH600702,ST舍得
SZ000525,红太阳
SH600856,*ST中天
SH603466,风语筑
SH688166,博瑞医药
SZ300438,鹏辉能源
SZ300239,东宝生物
SZ300278,华昌达
SZ300414,中光防雷
SZ002251,步步高
SH600600,青岛啤酒
SZ300094,国联水产
SZ002202,金风科技
SZ300893,松原股份
SH600895,张江高科
SH600199,金种子酒
SZ300546,雄帝科技
SZ002876,三利谱
SZ002418,*ST康盛
SH600448,华纺股份
SZ300648,星云股份
SZ300265,通光线缆
SZ300327,中颖电子
SZ002833,弘亚数控
SH603039,泛微网络
SZ002461,珠江啤酒
SH601838,成都银行
SZ300048,合康新能
SZ002646,青青稞酒
SH600256,广汇能源
SH605136,丽人丽妆
SH600019,宝钢股份
SZ300076,GQY视讯
SZ002735,王子新材
SZ000913,钱江摩托
SZ300096,易联众
SZ000929,兰州黄河
SZ002534,杭锅股份
SZ300812,易天股份
SH603569,长久物流
SZ002781,奇信股份
SZ300222,科大智能
SH603223,恒通股份
SH603279,景津环保
SZ002312,三泰控股
SH600826,兰生股份
SH603776,永安行
SZ300881,盛德鑫泰
SZ300787,海能实业
SZ002430,杭氧股份
SZ300375,鹏翎股份
SZ300886,华业香料
SH601866,中远海发
SZ002853,皮阿诺
SZ002685,华东重机
SZ300470,中密控股
SH600543,莫高股份
SZ300436,广生堂
SZ300697,电工合金
SZ002441,众业达
SZ300786,国林科技
SZ300647,超频三
SZ002863,今飞凯达
SZ300008,天海防务
SZ002946,新乳业
SH603683,晶华新材
SH603159,上海亚虹
SZ002568,百润股份
SH601601,中国太保
SZ300011,鼎汉技术
SZ000012,南玻A
SH600791,京能置业
SZ002214,大立科技
SZ300869,康泰医学
SZ000990,诚志股份
SZ002090,金智科技
SZ002856,美芝股份
SZ000777,中核科技
SH600258,首旅酒店
SZ300341,麦克奥迪
SZ200017,*ST中华B
SZ002239,奥特佳
SH600248,延长化建
SZ300747,锐科激光
SH600616,金枫酒业
SH603629,利通电子
SH603727,博迈科
SZ300325,德威新材
SZ002469,三维工程
SZ300810,中科海讯
SZ300772,运达股份
SZ000961,中南建设
SZ300109,新开源
SZ300879,大叶股份
SZ002684,*ST猛狮
SZ000416,民生控股
SH601500,通用股份
SH600630,龙头股份
SH605388,均瑶健康
SH601919,中远海控
SZ002976,瑞玛工业
SZ002282,博深股份
SZ300625,三雄极光
SZ300392,腾信股份
SZ002867,周大生
SZ002654,万润科技
SZ003002,壶化股份
SZ000599,青岛双星
SZ300863,卡倍亿
SZ300868,杰美特
SH600568,*ST中珠
SZ300753,爱朋医疗
SH601318,中国平安
SH600339,中油工程
SZ002420,ST毅昌
SZ300065,海兰信
SZ300340,科恒股份
SZ002259,*ST升达
SH688188,柏楚电子
SZ002431,棕榈股份
SZ002670,国盛金控
SH600376,首开股份
SH600550,保变电气
SZ300586,美联新材
SH600738,兰州民百
SH601677,明泰铝业
SZ000585,*ST东电
SZ002907,华森制药
SZ002841,视源股份
SH688013,天臣医疗
SH605100,华丰股份
SZ300835,龙磁科技
SZ002188,ST巴士
SZ002692,ST远程
SH601800,中国交建
SZ300761,立华股份
SZ300460,惠伦晶体
SH601319,中国人保
SH601003,柳钢股份
SZ000920,南方汇通
SZ300488,恒锋工具
SZ300626,华瑞股份
SH600604,市北高新
SZ002355,兴民智通
SZ300419,浩丰科技
SZ300295,三六五网
SH603766,隆鑫通用
SZ300273,和佳医疗
SH603722,阿科力
SH603798,康普顿
SZ002226,江南化工
SZ000407,胜利股份
SZ200429,粤高速B
SH688301,奕瑞科技
SZ000701,厦门信达
SZ000751,锌业股份
SZ000509,*ST华塑
SZ000807,云铝股份
SH600059,古越龙山
SZ200706,瓦轴B
SZ002752,昇兴股份
SZ300226,上海钢联
SZ000617,中油资本
SZ002823,凯中精密
SZ300887,谱尼测试
SZ002801,微光股份
SH688300,联瑞新材
SZ001872,招商港口
SZ002865,钧达股份
SZ000703,恒逸石化
SZ002930,宏川智慧
SZ000885,城发环境
SZ002236,大华股份
SH688567,孚能科技
SH603035,常熟汽饰
SH600559,老白干酒
SZ002103,广博股份
SZ300320,海达股份
SH601328,交通银行
SZ002113,*ST天润
SH600028,XD中国石
SZ300089,文化长城
SH600456,宝钛股份
SZ300633,开立医疗
SZ002139,拓邦股份
SZ000026,飞亚达
SZ300437,清水源
SH603738,泰晶科技
SZ000609,中迪投资
SH600515,海航基础
SZ000301,东方盛虹
SZ002483,润邦股份
SH603669,灵康药业
SH600226,*ST瀚叶
SH603922,金鸿顺
SZ300035,中科电气
SZ000985,大庆华科
SZ000533,顺钠股份
SH600151,航天机电
SZ000922,佳电股份
SH600267,海正药业
SH603665,康隆达
SZ002421,达实智能
SZ300569,天能重工
SH600112,ST天成
SZ300271,华宇软件
SH601668,中国建筑
SZ300277,海联讯
SZ002077,*ST大港
SZ002190,成飞集成
SH600387,海越能源
SZ300357,我武生物
SZ002272,川润股份
SH603607,京华激光
SZ002192,*ST融捷
SZ000690,宝新能源
SH600751,海航科技
SZ000005,世纪星源
SH603778,乾景园林
SZ300691,联合光电
SZ002112,三变科技
SH600523,贵航股份
SH601618,中国中冶
SH600989,宝丰能源
SZ002515,金字火腿
SH900934,锦江B股
SH600015,华夏银行
SH603359,东珠生态
SZ300878,维康药业
SZ000415,渤海租赁
SH600340,华夏幸福
SZ002151,北斗星通
SZ002111,威海广泰
SZ300092,科新机电
SH600287,江苏舜天
SZ000911,南宁糖业
SH603758,秦安股份
SZ002370,亚太药业
SH600326,西藏天路
SZ002353,杰瑞股份
SZ002560,通达股份
SH603768,常青股份
SZ300400,劲拓股份
SZ300297,蓝盾股份
SZ002408,齐翔腾达
SZ002617,露笑科技
SH600770,综艺股份
SZ002036,联创电子
SH603767,中马传动
SZ300061,旗天科技
SH600383,金地集团
SH603110,东方材料
SZ000626,远大控股
SH601818,光大银行
SZ002807,江阴银行
SZ000863,三湘印象
SZ002650,ST加加
SH600919,江苏银行
SH603533,掌阅科技
SZ300617,安靠智电
SZ002114,罗平锌电
SH603222,济民制药
SH601258,ST庞大
SZ002447,*ST晨鑫
SH601390,中国中铁
SH603600,永艺股份
SZ200030,富奥B
SH601117,中国化学
SZ000735,罗牛山
SH601366,利群股份
SH603601,再升科技
SZ300306,远方信息
SZ002857,三晖电气
SZ002068,黑猫股份
SZ000997,新大陆
SZ300131,英唐智控
SZ300245,天玑科技
SH600428,中远海特
SZ300503,昊志机电
SZ300330,华虹计通
SZ002021,ST中捷
SZ300570,太辰光
SZ002529,*ST海源
SH603677,奇精机械
SH600639,浦东金桥
SZ200168,*ST舜喆B
SH603217,元利科技
SH600482,中国动力
SH600704,物产中大
SZ002027,分众传媒
SZ000581,威孚高科
SZ000971,*ST高升
SZ000030,富奥股份
SZ002738,中矿资源
SH601890,亚星锚链
SH601333,广深铁路
SZ300154,瑞凌股份
SH603900,莱绅通灵
SH600628,新世界
SZ002320,海峡股份
SH688155,先惠技术
SH600184,光电股份
SH603088,宁波精达
SZ300853,申昊科技
SH601186,中国铁建
SZ002101,广东鸿图
SH600470,*ST六化
SZ002839,张家港行
SH603050,科林电气
SZ000868,ST安凯
SZ002554,惠博普
SH603358,华达科技
SZ300534,陇神戎发
SZ300137,先河环保
SH600378,昊华科技
SZ300412,迦南科技
SZ200625,长安B
SZ002936,郑州银行
SH600157,*ST永泰
SZ300732,设研院
SZ201872,招港B
SH603989,艾华集团
SH600284,浦东建设
SH600863,内蒙华电
SH600006,东风汽车
SH600438,通威股份
SZ000898,鞍钢股份
SZ002280,*ST联络
SZ200019,深粮B
SZ002948,青岛银行
SZ002177,御银股份
SZ002999,天禾股份
SH603959,百利科技
SH688027,国盾量子
SZ002681,*ST奋达
SH601633,长城汽车
SH600928,西安银行
SH605358,立昂微
SZ002502,*ST鼎龙
SZ000663,*ST永林
SH600135,乐凯胶片
SH601579,会稽山
SZ300420,五洋停车
SZ300716,国立科技
SZ300686,智动力
SZ002057,中钢天源
SZ002648,卫星石化
SZ300580,贝斯特
SH603360,百傲化学
SZ002064,华峰氨纶
SZ002694,顾地科技
SH600926,杭州银行
SH688011,新光光电
SH600138,中青旅
SZ002827,高争民爆
SZ002870,香山股份
SZ000555,神州信息
SZ300457,赢合科技
SH603811,诚意药业
SZ000035,中国天楹
SZ002596,海南瑞泽
SH600307,酒钢宏兴
SH603517,绝味食品
SZ200026,飞亚达B
SZ300883,龙利得
SZ002501,*ST利源
SH688588,凌志软件
SH601228,广州港
SH601288,农业银行
SH601369,陕鼓动力
SZ002454,松芝股份
SZ300500,启迪设计
SH600491,龙元建设
SH603500,祥和实业
SH600881,亚泰集团
SH600048,保利地产
SH600870,ST厦华
SH600563,法拉电子
SZ002399,海普瑞
SH601009,南京银行
SZ000806,*ST银河
SH605188,国光连锁
SH600688,上海石化
SZ300876,蒙泰高新
SZ002419,天虹股份
SZ300525,博思软件
SZ300652,雷迪克
SH600466,蓝光发展
SZ002427,ST尤夫
SZ002250,联化科技
SZ002453,华软科技
SZ002042,华孚时尚
SH605255,天普股份
SH600090,*ST济堂
SH600555,*ST海创
SH601567,三星医疗
SZ002315,焦点科技
SH603055,台华新材
SZ300353,东土科技
SH600871,石化油服
SH600648,外高桥
SH601166,兴业银行
SH603007,花王股份
SH600372,中航电子
SZ300153,科泰电源
SH601928,凤凰传媒
SH900910,海立B股
SZ000778,新兴铸管
SH600820,隧道股份
SZ002496,*ST辉丰
SZ300396,迪瑞医疗
SH605123,派克新材
SH688222,成都先导
SZ002749,国光股份
SZ002729,好利来
SH601018,宁波港
SZ300654,世纪天鸿
SH600000,浦发银行
SZ300434,金石亚药
SH600104,上汽集团
SH688100,威胜信息
SZ000927,*ST夏利
SZ000009,中国宝安
SZ002206,海利得
SH603598,引力传媒
SZ002678,珠江钢琴
SH600725,ST云维
SZ002966,苏州银行
SZ000502,绿景控股
SZ002864,盘龙药业
SZ000668,荣丰控股
SH603779,ST威龙
SH600516,方大炭素
SH600782,新钢股份
SH601857,中国石油
SH600025,华能水电
SZ000519,中兵红箭
SH603131,上海沪工
SZ002055,得润电子
SZ002122,*ST天马
SZ000700,模塑科技
SZ300399,京天利
SZ002955,鸿合科技
SH600018,上港集团
SZ002414,高德红外
SZ002044,美年健康
SH600072,中船科技
SH600064,南京高科
SZ300329,海伦钢琴
SZ300093,金刚玻璃
SH600596,新安股份
SH603555,*ST贵人
SZ002783,凯龙股份
SZ000402,金融街
SH600929,雪天盐业
SZ002191,劲嘉股份
SH600815,*ST厦工
SZ002085,万丰奥威
SH600647,同达创业
SZ200012,南玻B
SZ300333,兆日科技
SZ002532,新界泵业
SZ000155,川能动力
SZ300833,浩洋股份
SH601169,北京银行
SH600486,扬农化工
SH601077,渝农商行
SZ002423,中粮资本
SZ002142,宁波银行
SH600998,九州通
SH600532,宏达矿业
SZ000780,*ST平能
SH600599,*ST熊猫
SH601998,中信银行
SZ000968,蓝焰控股
SH601158,重庆水务
SZ200488,晨鸣B
SH603717,天域生态
SZ300029,ST天龙
SH600016,民生银行
SH603612,索通发展
SZ300270,中威电子
SH600309,万华化学
SH601816,京沪高铁
SZ000552,靖远煤电
SZ300276,三丰智能
SZ300305,裕兴股份
SH600565,迪马股份
SH600822,上海物贸
SH600623,华谊集团
SH600530,*ST交昂
SH600757,长江传媒
SZ002585,双星新材
SH600153,建发股份
SZ002331,皖通科技
SH603197,保隆科技
SH603990,麦迪科技
SH600212,*ST江泉
