股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,52周最低,52周最高
688129,N东来,34.0,123.39,123.39,72.25,55.64,None,928146484.0,32.3,38.47
300479,神思电子,21.94,20.02,38.52,9.87,288.685,0.137,3680698807.0,13.3733,21.94
688129,N东来,34.0,123.39,123.39,72.25,55.64,None,928146484.0,32.3,38.47
300479,神思电子,21.94,20.02,38.52,9.87,288.685,0.137,3680698807.0,13.3733,21.94
300582,英飞特,23.62,20.02,100.02,39.6,39.685,0.25,3181548242.0,9.9383,23.62
300516,久之洋,45.23,20.01,52.71,9.9,147.561,0.155,8141400000.0,25.2195,45.23
300593,新雷能,27.6,20.0,52.48,27.61,56.875,0.181,3236246446.0,13.0569,27.6
300466,赛摩智能,9.48,20.0,61.77,30.06,-27.153,0.0,3570285647.0,3.92,9.48
300895,铜牛信息,78.9,20.0,523.72,54.59,134.393,0.051,1814672701.0,52.32,78.9
300898,熊猫乳品,77.52,20.0,619.11,81.55,144.736,0.967,2050903074.0,40.0,88.0
300712,永福股份,20.9,19.98,81.24,27.64,62.31,0.478,1640634200.0,9.2273,20.9
300141,和顺电气,12.68,19.96,90.33,11.5,-2368.613,0.119,2099686513.0,5.4734,13.37
300826,测绘股份,45.9,13.25,100.61,43.7,45.911,0.0,918000000.0,27.46,55.88
300279,和晶科技,8.79,12.69,46.5,36.59,-366.873,0.0,3863523699.0,4.65,9.36
300491,通合科技,18.97,11.07,45.81,16.45,303.102,0.0,2304739416.0,10.7,22.95
603041,美思德,15.24,10.04,25.07,3.42,20.117,1.031,2139155894.0,10.7236,17.39
605338,巴比食品,43.21,10.01,239.7,62.92,73.879,None,2679020000.0,15.26,43.21
605058,澳弘电子,31.77,10.01,74.27,0.55,37.713,None,1135173870.0,26.25,31.77
003009,中天火箭,70.73,10.0,446.6,0.3,100.154,None,2747726113.0,17.08,70.73
002970,锐明技术,57.33,10.0,-5.81,10.05,45.245,0.698,2476656000.0,22.6415,86.8918
605111,新洁能,99.0,10.0,397.24,0.47,86.282,0.2,2504700000.0,28.67,99.0
603919,金徽酒,29.72,9.99,121.7,6.92,58.924,0.626,14601648231.0,8.9925,29.72
003015,日久光电,11.45,9.99,74.28,0.16,35.38,0.0,804553337.0,7.88,11.45
600573,惠泉啤酒,9.03,9.99,36.55,16.75,74.991,0.332,2257500000.0,5.3381,9.03
003013,地铁设计,21.27,9.98,58.38,0.21,30.617,None,851012700.0,16.12,21.27
300891,惠云钛业,21.32,9.45,485.71,50.72,95.29,0.352,2022135311.0,16.21,26.01
300848,美瑞新材,60.79,8.73,115.72,34.62,44.922,0.0,1013369300.0,33.82,71.87
300845,捷安高科,44.2,8.57,150.71,29.9,48.354,0.0,1020578000.0,21.16,59.87
300100,双林股份,17.18,8.05,187.29,30.02,-9.937,0.0,6547945652.0,4.66,18.58
300589,江龙船艇,31.13,8.02,142.45,22.86,191.224,0.0,2948946021.0,9.81,37.66
300849,锦盛新材,36.7,7.75,162.33,68.35,63.505,0.0,917500000.0,16.79,40.87
300561,汇金科技,25.56,7.71,65.47,22.77,494.401,0.315,3436658221.0,12.1544,30.79
002724,海洋王,7.61,7.64,8.4,5.72,19.761,1.213,2534746600.0,5.5654,8.64
300444,双杰电气,6.69,7.56,34.07,23.06,-6.028,0.0,2348569965.0,3.68,7.38
000036,华联控股,4.43,7.26,11.37,2.98,8.205,9.029,6554071725.0,3.1011,5.1
300385,雪浪环境,10.46,7.17,39.46,15.3,33.378,0.598,2353839186.0,5.6918,11.62
300556,丝路视觉,27.36,7.13,63.85,25.97,58.118,0.183,2357449065.0,13.857,30.0
300885,海昌新材,52.1,7.03,174.64,44.39,76.593,None,1042000000.0,39.18,80.0
300781,因赛集团,58.0,7.01,79.68,64.63,107.75,0.345,1597702800.0,24.9255,63.99
