股票代码,股票名称,当前价,涨跌幅,年初至今,换手率,市盈率(TTM),股息率,市值,关注者
SH688129,N东来,34,123.39,123.39,72.25,55.64,None,4080000000,626
SZ300479,神思电子,21.94,20.02,38.52,9.87,288.685,0.137,3716780541,21152
SZ300582,英飞特,23.62,20.02,100.02,39.6,39.685,0.25,4675149116,6378
SZ300516,久之洋,45.23,20.01,52.71,9.9,147.561,0.155,8141400000,53204
SZ300593,新雷能,27.6,20,52.48,27.61,56.875,0.181,4570030080,6063
SZ300466,赛摩智能,9.48,20,61.77,30.06,None,0,5076823528,39790
SZ300895,铜牛信息,78.9,20,523.72,54.59,134.393,0.051,7650944835,2529
SZ300898,熊猫乳品,77.52,20,619.11,81.55,144.736,0.967,9612480000,4589
SZ300712,永福股份,20.9,19.98,81.24,27.64,62.31,0.478,3805973600,4732
SZ300141,和顺电气,12.68,19.96,90.33,11.5,None,0.119,3219256728,18807
SZ300826,测绘股份,45.9,13.25,100.61,43.7,45.911,0,3672000000,1738
SZ300279,和晶科技,8.79,12.69,46.5,36.59,None,0,3946200162,20376
SZ300491,通合科技,18.97,11.07,45.81,16.45,303.102,0,3049645712,116711
SH603041,美思德,15.24,10.04,25.07,3.42,20.117,1.031,2147310514,2677
SH605338,巴比食品,43.21,10.01,239.7,62.92,73.879,None,10716080000,5417
SH605058,澳弘电子,31.77,10.01,74.27,0.55,37.713,None,4540693892,1082
SZ003009,中天火箭,70.73,10,446.6,0.3,100.154,None,10990898298,4290
SZ002970,锐明技术,57.33,10,-5.81,10.05,45.245,0.698,9906624000,9536
SH605111,新洁能,99,10,397.24,0.47,86.282,0.2,10018800000,3015
SH603919,金徽酒,29.72,9.99,121.7,6.92,58.924,0.626,15075767111,13787
SZ003015,日久光电,11.45,9.99,74.28,0.16,35.38,0,3218213337,2436
SH600573,惠泉啤酒,9.03,9.99,36.55,16.75,74.991,0.332,2257500000,19996
SZ003013,地铁设计,21.27,9.98,58.38,0.21,30.617,None,8508212700,1633
SZ300891,惠云钛业,21.32,9.45,485.71,50.72,95.29,0.352,8528000000,2430
SZ300848,美瑞新材,60.79,8.73,115.72,34.62,44.922,0,4052869300,1870
SZ300845,捷安高科,44.2,8.57,150.71,29.9,48.824,0,4082135200,1976
SZ300100,双林股份,17.18,8.05,187.29,30.02,None,0,7843814463,18569
SZ300589,江龙船艇,31.13,8.02,142.45,22.86,191.224,0,6313406814,10155
SZ300849,锦盛新材,36.7,7.75,162.33,68.35,63.505,0,3670000000,2067
SZ300561,汇金科技,25.56,7.71,65.47,22.77,494.401,0.315,6452639457,12777
SZ002724,海洋王,7.61,7.64,8.4,5.72,19.761,1.213,5934504215,10243
SZ300444,双杰电气,6.69,7.56,34.07,23.06,None,0,3918471095,9986
SZ000036,华联控股,4.43,7.26,11.37,2.98,8.205,9.029,6573827731,23651
SZ300385,雪浪环境,10.46,7.17,39.46,15.3,33.378,0.598,3484706449,9394
SZ300556,丝路视觉,27.36,7.13,63.85,25.97,58.118,0.183,3221005932,21909
SZ300885,海昌新材,52.1,7.03,174.64,44.39,76.593,None,4168000000,1477
SZ300781,因赛集团,58,7.01,79.68,64.63,107.75,0.345,4903402360,5278
SH600861,北京城乡,20.97,6.94,146.66,3.31,None,0.095,6643399781,13077
