股票代码,股票名称,近3年,近5年,近10年,所有时间,当前市盈率(TTM),历史平均,历史最高,历史最低
SZ300479,神思电子,99.6,99.7,99.7,99.7,318.23,192.92,336.4,104.02
SZ300582,英飞特,56.5,53.4,53.4,53.4,38.68,46.52,123.89,20.48
SZ300516,久之洋,85,87,87,87,133.6,99.21,198.42,37.29
SZ300466,赛摩智能,1,1,1,1,23.37,168.99,319.5,72.37
SZ300712,永福股份,99,99,99,99,53.08,32.54,62.31,23.76
SH600573,惠泉啤酒,46.9,34.4,48.6,66.5,75.16,104.18,1598.66,16.55
SZ300100,双林股份,1,1,1,1,8.99,30.18,81.25,10.85
SZ300589,江龙船艇,98.9,98.9,98.9,98.9,209.24,90.29,249.25,61.77
SZ300561,汇金科技,93.5,94.2,94.2,94.2,418.96,131.47,550.88,37.35
SZ002724,海洋王,2.2,1.4,1.4,1.4,20.07,52.93,151.63,18.96
SZ000036,华联控股,82.4,63.2,34.2,17.3,8.23,109.9,1320.55,4.38
SZ300385,雪浪环境,99,99.4,99.1,99.1,160.6,59.18,181.08,25.44
SZ300556,丝路视觉,43.1,40.6,40.6,40.6,49.74,65.77,178.04,30.77
SZ300781,因赛集团,96,96,96,96,126.18,61.43,150.86,42.4
SH600861,北京城乡,1,1,1,1,64.88,46.62,564.73,16.93
SZ300176,派生科技,1,1,1,1,24.75,66.32,292.78,11.37
SZ002659,凯文教育,37.8,23.1,25.8,25.8,128.21,550.61,3512.99,33.52
SH603333,尚纬股份,77,69.6,74.1,74.1,68.85,147.55,1357.18,30.43
SH601163,三角轮胎,16.6,14.6,14.6,14.6,13.68,19.97,31.87,11.97
SZ002417,深南股份,1.7,6.9,69.7,69.7,82.77,71.56,443.09,22.49
SZ300555,路通视信,90.4,91.2,91.2,91.2,648.65,200.52,1176.33,39.67
SZ300670,大烨智能,98.9,98.9,98.9,98.9,101.15,74.43,107.26,51.88
SZ300588,熙菱信息,1,1,1,1,158.97,193.1,720.02,23.14
SZ002109,兴化股份,87.5,74.9,64.1,61.5,29.48,28.98,234.22,9.13
SH601669,中国电建,17.2,11.4,26.8,26.8,8.33,12.02,36.66,5.47
SH600890,中房股份,6,3.8,27.9,56.9,159.63,803.79,10330.3,18.59
SH603877,太平鸟,95.1,95.1,95.1,95.1,29.89,17.56,37.49,12.22
SH603488,展鹏科技,84.7,84.7,84.7,84.7,30.68,26.04,53.03,19.59
SZ002086,*ST东洋,1,1,1,1,1.6,59.43,218.39,18.7
SZ000906,浙商中拓,32,20.7,11,6.5,9.49,76.47,421.51,7
SH600306,*ST商城,1,1,1,1,7.08,274.4,1781.76,5.81
SZ002290,ST中科创,1,1,1,1,1.96,96.89,367.4,22.72
SH600238,ST椰岛,1,1,1,1,9.46,189.49,3625.37,10.71
SZ002638,*ST勤上,94.5,72.7,80.5,80.5,236.77,123.4,572.86,21.17
SH600518,ST康美,1,1,1,1,5.82,31.66,72,6.03
SH601777,*ST力帆,1,1,1,1,1.28,62.21,442.31,13.98
SZ300062,中能电气,1,1,1,1,2125.13,66.04,197.31,20.57
SZ000408,*ST藏格,99,87.2,59.6,58.9,63.87,160.29,2109.43,9.64
SZ300445,康斯特,94.8,67.2,67.2,67.2,53.54,51.47,143.92,24.09
SZ002210,*ST飞马,1,1,1,1,1.96,58.32,143.15,10.6
SZ002716,*ST金贵,1,1,1,1,0.42,57.8,139.7,19.79
SZ000869,张裕A,96.3,97,85.1,67.9,29.64,28.7,96.71,11.68
SH603855,华荣股份,87.4,87.4,87.4,87.4,27.18,20.36,36.96,15.45
SZ300514,友讯达,69.7,69.7,69.7,69.7,57.04,53.48,84.24,33.7
SZ000017,*ST中华A,1,1,1,1,634.14,795.48,9781.34,1.85
SH601238,广汽集团,99.3,93.8,83.4,83.4,33.98,23.81,91.83,8.97
SZ002076,*ST雪莱,1,1,1,1,3.44,117.21,620.59,18.05
SZ002706,良信电器,96.8,97.8,95.7,95.7,65.87,37.56,79.26,17.3
SH600421,ST仰帆,1.7,0.9,36.6,61.4,292.15,605.13,4788.96,7.53
SZ002428,云南锗业,1,1,1,1,243.87,207.11,1037.82,48.13
SH600179,*ST安通,1,1,1,1,1.92,85.55,322.5,10.45
SH603992,松霖科技,28,28,28,28,27.17,28.06,43.01,17.71
SH601028,玉龙股份,48.8,58.6,74.9,74.9,78.99,84.95,439.81,20.74
SZ300129,泰胜风能,28.5,23.3,13.7,13.7,23.79,48.93,327.11,17.23
SZ300499,高澜股份,94.8,92.4,92.4,92.4,61.38,44.1,73.19,26.54
SZ002240,威华股份,1,1,1,1,147.5,288.47,1434.49,22.72
SZ000587,*ST金洲,1,1,1,1,0.53,43.68,249.29,5.76
SZ300283,温州宏丰,92.4,74.3,75.9,75.9,179.08,166.86,798.95,19.32
SZ300505,川金诺,66.8,58.2,58.2,58.2,36.27,39.29,86.41,24.07
SZ300269,联建光电,1,1,1,1,2.21,75.27,329.47,18.25
SZ300693,盛弘股份,19.7,19.7,19.7,19.7,40.91,51.15,114.14,28.41
SZ300107,建新股份,74.8,49.7,28.9,28.9,22.59,81.33,281.11,6.28
SZ300151,昌红科技,78.3,52.5,65.9,65.9,104.75,100.11,353.78,23.17
SH600733,北汽蓝谷,1,1,1,1,13.42,859.39,21165.7,25.73
SH600696,ST岩石,61.5,64.8,73.5,67.4,286.82,292.6,3570.85,31.84
SZ300351,永贵电器,1,1,1,1,10.08,56.7,162.07,15.74
SZ000729,燕京啤酒,98.3,98.9,99.4,99.7,324.39,42.81,349.04,15.03
SZ002203,海亮股份,65.7,44.7,27.8,24.2,19.92,25.99,53.7,14.38
SZ300386,飞天诚信,92.5,95.1,95.5,95.5,103.01,59.85,124.69,27.67
SH600908,无锡银行,14.9,12.8,12.8,12.8,8.03,12.01,48.05,6.96
SZ300394,天孚通信,75.3,69.9,69.9,69.9,51.45,46.44,82.64,25.05
SZ002164,宁波东力,10.7,5.6,3.5,2.6,3.13,97.51,487.98,2.52
SH600337,美克家居,84.3,89.7,83,75.1,62.78,50.1,236.15,10.5
SZ300718,长盛轴承,90.3,90.3,90.3,90.3,32.12,27.29,42.23,20.98
SH600731,湖南海利,7,4.7,2.6,1.2,17.13,246.31,4192.45,15.38
SH603648,畅联股份,31,31,31,31,29.67,32.06,42.24,24.02
SZ300034,钢研高纳,71.1,55.3,58.4,56.3,66.31,64.5,148.56,35.88
SH600638,新黄浦,1,1,1,1,8.22,50.74,219.55,6.73
SH600608,ST沪科,48.5,62.1,77.1,87.4,297.93,207.67,2644.29,9.67
SZ300407,凯发电气,43.6,50.8,49.7,49.7,54.54,80.16,326,25.93
SH601611,中国核建,25.6,22.6,22.6,22.6,15.37,22.6,50.99,12.39
SZ300469,信息发展,1,1,1,1,20.93,99.48,231.62,37.49
SZ300585,奥联电子,94,94.3,94.3,94.3,122.4,63.71,142.78,23.25
SH603956,威派格,50.3,50.3,50.3,50.3,62.42,63.72,77.74,51.28
SZ300057,万顺新材,94.3,66.8,72.4,72.4,49.46,46.16,137.51,23.64
SZ002577,雷柏科技,1,1,1,1,33.82,211.47,1072.6,22.67
SZ300710,万隆光电,1,1,1,1,677.27,149,1054.3,40.03
SZ300668,杰恩设计,99,99,99,99,60.15,27.09,67.24,18.32
SZ002354,*ST天娱,1,1,1,1,2.83,74.87,461.36,6.4
SZ000001,平安银行,98.4,98.9,99.4,53.9,12.69,29.26,185.45,5.02
SH600754,锦江酒店,100,96.9,97.3,90.9,56.76,37.8,121.51,14.39
SZ300490,华自科技,96.9,72.5,72.5,72.5,78.53,62.83,151.63,20.59
SH601717,郑煤机,62.8,44.2,47.1,47.1,14.21,66.58,812.53,6.34
SZ002245,澳洋顺昌,73.2,57.5,60,59.7,35.83,40.55,409.9,10.03
SH600660,福耀玻璃,100,100,100,83.4,46.14,162.71,7457.67,7.9
SZ002306,ST云网,1,1,1,1,72.55,124.78,448.31,19.17
SZ002908,德生科技,12.9,12.9,12.9,12.9,32.38,40.01,74.26,28.59
SZ000039,中集集团,87.1,75,86.1,89.7,33.18,35,869.52,2.22
SH600702,ST舍得,70.1,45.8,35.4,21,30.41,119.57,1091.35,15.52
SZ000525,红太阳,1,1,1,1,24.39,244.18,8620.89,10.6
SH600856,*ST中天,1,1,1,1,0.61,391.35,54895.8,11
SH603466,风语筑,46,46,46,46,21.73,22.31,58.94,15.19
SZ300438,鹏辉能源,99.7,99.8,99.8,99.8,233.81,42.17,242.65,13.02
SZ300239,东宝生物,98.6,73.6,72.7,72.7,174.17,188.59,1437.39,36.73
SZ300414,中光防雷,94.9,92.8,92.8,92.8,95.86,76.56,110.6,47.33
SZ002251,步步高,90.7,93.8,96.7,97.1,122.43,47.18,145.93,16.1
SH600600,青岛啤酒,80,86.5,92.5,77.5,49,39.33,98.51,16.56
SZ300094,国联水产,1,1,1,1,6.17,61.01,200.06,15.13
SZ002202,金风科技,92.5,94.2,62.1,50.4,21.29,44.49,546.05,9.32
SH600895,张江高科,2.2,1.5,11.1,9,24.36,55.17,393.76,16.05
SH600199,金种子酒,1,1,1,1,21.81,115.94,1104.97,10.15
SZ300546,雄帝科技,99.4,99.5,99.5,99.5,103.01,38.32,106.29,25.04
SZ002876,三利谱,42.3,42.3,42.3,42.3,73.63,4760.57,35868.1,27.02
SZ002418,*ST康盛,1,1,1,1,5.24,60.28,265.07,16.83
SH600448,华纺股份,33.7,24.7,52.9,55.9,156.65,178.5,571.88,35.84
SZ300648,星云股份,40,40,40,40,87.01,320.32,1164.41,33.48
SZ300265,通光线缆,60.3,72.8,74.3,74.3,109.54,145.87,1510.75,19.3
SZ300327,中颖电子,84.1,57.2,40.5,40.5,47.75,68.02,186.85,25.94
SZ002833,弘亚数控,97.9,95,95,95,38.13,23.54,51,14.87
SH603039,泛微网络,96.7,96.7,96.7,96.7,145.75,92.99,163.17,63.39
SZ002461,珠江啤酒,57.7,38.5,22.6,22.6,39.64,111.63,310.03,26.04
SH601838,成都银行,88.3,88.3,88.3,88.3,6.52,5.9,7.19,4.98
SZ300048,合康新能,1,1,1,1,21.75,74.8,341.38,16.04
SZ002646,青青稞酒,1,1,1,1,91.17,49.35,131.8,18.18
SH600256,广汇能源,74,50.3,27.1,20.7,17.58,49.11,361.53,9
SH600019,宝钢股份,86.1,52.7,54.2,52.3,12.08,15.78,96.74,5.16
SZ300076,GQY视讯,21.7,14.3,52.8,52.8,298.92,1549.69,35233.4,28.59
SZ002735,王子新材,97.4,79.3,79.6,79.6,98.56,73.61,178.38,35.54
SZ000913,钱江摩托,80.6,82.9,70.6,87.4,71.64,57.5,595.17,11
SZ300096,易联众,1,1,1,1,147.81,10290.78,235663,18.08
SZ000929,兰州黄河,1,1,1,1,72.36,278.86,6508.74,8.54
SZ002534,杭锅股份,9.8,7.5,5.1,5.1,13.51,61,585.96,10.47
SH603569,长久物流,80.1,82.6,82.6,82.6,48.16,55.57,435.12,14.4
SZ002781,奇信股份,1,1,1,1,380.11,55.68,311.3,18.42
SZ300222,科大智能,1,1,1,1,3.73,78.08,410.49,18.99
SH603223,恒通股份,75,80.8,80.8,80.8,79.96,102.86,1207.7,26.19
SH603279,景津环保,47.4,47.4,47.4,47.4,21.5,21.8,26.84,19.7
SH600826,兰生股份,99.8,99.9,99.9,93.6,323.79,103.92,872.11,9.08
SH603776,永安行,33.9,33.9,33.9,33.9,7.13,14.93,33.02,4.69
SZ300787,海能实业,21.4,21.4,21.4,21.4,42.32,46.73,60.4,34.28
SZ002430,杭氧股份,89.8,75.5,77.2,77.2,44.41,42.47,284.35,12.44
SZ300375,鹏翎股份,98.7,90.8,86,86,34.29,26.34,57.07,15.94
SH601866,中远海发,13.1,11.4,14,15,14.05,33.62,415.14,8.16
SZ002853,皮阿诺,63.3,63.3,63.3,63.3,21.45,21.35,43.39,14.1
SZ002685,华东重机,28.6,19,14,14,17.34,152.61,988.7,10.85
SZ300470,中密控股,94,76.1,76.1,76.1,40.31,36.13,66.92,22.92
SH600543,莫高股份,90.4,93.7,95.2,96.1,380.93,136.31,590.79,21.66
SZ300436,广生堂,78.2,84.5,84.5,84.5,426.31,278.58,1070.34,73.06
SZ300697,电工合金,93.9,93.9,93.9,93.9,41.08,32.53,63.1,20.03
SZ002441,众业达,54.4,36.6,42.4,42.4,20,26.62,76.88,13.1
SZ300786,国林科技,64.5,64.5,64.5,64.5,35.93,35.1,43.92,30.13
SZ300647,超频三,100,100,100,100,1041.12,320.99,1041.12,78.69
SZ002863,今飞凯达,91.4,91.4,91.4,91.4,50.04,39.56,76.97,27.86
SZ300008,天海防务,1,1,1,1,28.83,79.68,348.87,19.34
SZ002946,新乳业,9.6,9.6,9.6,9.6,64.01,78.54,113.59,47.59
